date,JPM,BAC,spread,zscore_full,signal,position
2023-04-06,120.19776153564452,26.034822463989254,-42.9498377869961,0.5266210818317228,0,1
2023-04-10,120.59380340576172,26.128339767456055,-43.13982347964944,0.5199631623302439,0,1
2023-04-11,121.1878662109375,26.848405838012695,-47.05806533595137,0.3826510389684883,0,0
2023-04-12,121.16900634765624,26.63332748413086,-45.72913351943062,0.4292225514533464,0,0
2023-04-13,121.63104248046876,26.70813369750977,-45.735871627121085,0.428986419047959,0,0
2023-04-14,130.81536865234375,27.605892181396484,-42.17736224812958,0.5536919621849044,0,1
2023-04-17,131.85264587402344,28.400775909423828,-46.121235643000745,0.4154815989709281,0,0
2023-04-18,133.33303833007812,28.578454971313477,-45.75427165135332,0.4283416027017775,0,0
2023-04-19,133.16331481933594,28.11087417602539,-42.993893205528,0.5250771896254579,0,1
2023-04-20,132.77670288085938,27.96124839782715,-42.44287299600009,0.5443873184435207,0,1
2023-04-21,132.52212524414062,27.933195114135746,-42.521654316316074,0.5416264806058994,0,1
2023-04-24,132.70126342773438,27.830326080322266,-41.69788581367473,0.5704948880203855,0,1
2023-04-25,129.8158416748047,26.969980239868164,-39.19193765611422,0.6583141383802585,0,1
2023-04-26,127.51505279541016,26.59592056274414,-39.14867604656851,0.6598302120900053,0,1
2023-04-27,129.2312469482422,27.01673889160156,-40.06954616406196,0.6275589445647392,0,1
2023-04-28,130.35336303710938,27.381452560424805,-41.23291366514309,0.5867895210115242,0,1
2023-05-01,133.1444549560547,27.15701484680176,-37.03537950040527,0.7338892535399413,0,1
2023-05-02,130.99453735351562,26.33407211303711,-34.02831431270559,0.839269809706008,0,1
2023-05-03,128.22225952148438,26.05352210998535,-35.042521408853645,0.8037276111873879,0,1
2023-05-04,126.4683609008789,25.23993682861328,-31.698075852782523,0.920931433109024,0,1
2023-05-05,128.9388885498047,25.913249969482425,-33.44687494123431,0.8596459573841908,0,1
2023-05-08,129.25009155273438,25.894548416137695,-33.018478378178855,0.8746588238358656,0,1
