date,XOM,CVX,spread,zscore_full
2021-09-03,46.9721565246582,82.0097427368164,-22.39223080143617,-0.002271054564965766
2021-09-07,46.698211669921875,81.64802551269531,-22.360232815734946,0.0018506029533079458
2021-09-08,46.27018356323242,81.08441925048828,-22.31155898718481,0.008120274215119846
2021-09-09,46.304420471191406,80.75634765625,-21.999836936924353,0.048273162089513454
2021-09-10,46.21025466918945,80.81523895263672,-22.143813390153596,0.029727568737242284
2021-09-13,47.40018844604492,82.41352081298828,-22.30571706965351,0.008872771060978892
2021-09-14,46.72389221191406,80.92457580566406,-21.722653686882083,0.08397711036750007
2021-09-15,48.299049377441406,82.64065551757812,-21.59896818615026,0.09990902804359512
2021-09-16,47.7854118347168,81.86672973632812,-21.458014141817316,0.11806530519118238
2021-09-17,47.22041702270508,81.3956527709961,-21.62456891496005,0.09661140058174747
2021-09-20,45.96199417114258,79.73005676269531,-21.4742195549167,0.11597788745928257
2021-09-21,45.919193267822266,79.78894805908203,-21.566831109464303,0.10404860185848501
2021-09-22,47.263214111328125,82.13592529296875,-22.207899262265713,0.021472673598767193
2021-09-23,48.864051818847656,84.1716537475586,-22.32889425782001,0.005887319640665171
2021-09-24,49.3006477355957,84.62590789794922,-22.2765095308729,0.012634991374764754
2021-09-27,50.76451110839844,86.61959838867188,-22.498922870955823,-0.016014049970424497
2021-09-28,51.295265197753906,86.94766235351562,-22.245647470909063,0.01661033040601189
2021-09-29,51.261024475097656,86.92240905761719,-22.258528787481325,0.014951089234049754
2021-09-30,50.35360336303711,85.3409423828125,-21.828334839261757,0.07036433110343386
2021-10-01,52.15989685058594,87.76363372802734,-22.071169848315535,0.03908477650546198
2021-10-04,52.836181640625,88.0916976928711,-21.67236374758518,0.09045495270207794
2021-10-05,52.75057220458984,89.05069732666016,-22.569101469404664,-0.02505374861331471
2021-10-06,51.78322982788086,88.26835632324219,-22.874734608025676,-0.06442232435408979
2021-10-07,51.92875671386719,88.8992691040039,-23.26283795953664,-0.11441388043385844
2021-10-08,53.22997283935547,90.8929443359375,-23.64788564094846,-0.16401183593654395
2021-10-11,52.69921875,90.1190185546875,-23.524048143246375,-0.14806033954505485
2021-10-12,52.42527770996094,90.1358413696289,-23.81221803235347,-0.18517947576408625
2021-10-13,52.279747009277344,90.67423248291016,-24.41312352715653,-0.2625820558375016
2021-10-14,53.07588195800781,91.53226470947266,-24.34271795783104,-0.2535131210974116
2021-10-15,53.580963134765625,92.20523834228516,-24.406842367737013,-0.26177298028547613
2021-10-18,53.55527114868164,92.16316986083984,-24.39695255166174,-0.2604990740101998
2021-10-19,54.35997772216797,93.96336364746094,-25.114861888311125,-0.35297290790926983
2021-10-20,54.65959548950195,95.19154357910156,-25.854046897835644,-0.4481872592234337
2021-10-21,53.66656494140625,93.9970245361328,-25.836745273194467,-0.4459586385862937
2021-10-22,54.034671783447266,94.88868713378906,-26.22281260270897,-0.4956879348648537
