date,JPM,BAC,spread,zscore_full
2021-08-16,142.23223876953125,37.12112808227539,-90.38785837721562,-1.13581211504845
2021-08-17,140.5139923095703,36.94131851196289,-90.97932551028484,-1.1565396788178484
2021-08-18,139.2342529296875,36.67161560058594,-90.56896761440021,-1.1421589651996844
2021-08-19,138.07078552246094,36.1321907043457,-88.35212094580828,-1.0644710800727857
2021-08-20,138.46458435058594,36.29401397705078,-88.97239004508643,-1.0862079891766943
2021-08-23,140.23654174804688,36.77949523925781,-90.24270814440513,-1.1307254237709305
2021-08-24,141.10464477539062,37.29193878173828,-92.5858401412186,-1.212838892412958
2021-08-25,144.01316833496094,37.8942985534668,-93.45201298382162,-1.2431933311071435
2021-08-26,144.7559814453125,37.795406341552734,-92.08949036756496,-1.1954446518708919
2021-08-27,145.91941833496094,38.19996643066406,-93.46123524885277,-1.2435165191185207
2021-08-30,143.58360290527344,37.453765869140625,-91.12097384359566,-1.1615036484069845
2021-08-31,143.14511108398438,37.53468322753906,-92.06653548587141,-1.194640213640059
2021-09-01,142.93927001953125,37.031219482421875,-89.11741355891303,-1.0912902396735302
2021-09-02,143.60153198242188,37.06737518310547,-88.6817218281227,-1.076021719025741
2021-09-03,142.7334442138672,37.09447479248047,-89.71962969889734,-1.1123944950861888
2021-09-07,142.4828643798828,37.33846282958984,-91.49916416942264,-1.1747570713907276
2021-09-08,141.84742736816406,36.85049819946289,-89.07676362262967,-1.0898656902785993
2021-09-09,142.46493530273438,36.98604202270508,-89.30864305743981,-1.097991747506663
2021-09-10,140.82720947265625,36.38963317871094,-87.20896406184562,-1.0244099238631303
2021-09-13,143.06460571289062,36.995079040527344,-88.76560325288028,-1.0789612865579359
2021-09-14,140.56768798828125,36.00107955932617,-85.03360855412939,-0.9481760682753787
2021-09-15,141.54318237304688,36.27217102050781,-85.75691281298143,-0.9735237745329275
2021-09-16,141.4805145263672,36.55229568481445,-87.57498600401874,-1.0372369141102868
2021-09-17,141.1136016845703,36.59747695922851,-88.22502796894241,-1.0600171930597238
2021-09-20,136.8895263671875,35.34142303466797,-84.57802282494404,-0.9322103759720466
2021-09-21,136.90737915039062,35.3594856262207,-84.67335953836414,-0.9355513863114134
2021-09-22,139.529541015625,36.27217102050781,-87.7705541704033,-1.0440904676103187
2021-09-23,144.245849609375,37.672813415527344,-91.83139182272515,-1.1863997637480381
2021-09-24,145.91043090820312,38.0794563293457,-92.71504434660861,-1.2173667659950433
2021-09-27,149.4364776611328,39.091522216796875,-95.53112341851914,-1.3160543435106362
2021-09-28,148.63104248046875,39.00116729736328,-95.77034816264302,-1.324437812112374
2021-09-29,148.51473999023438,38.91984176635742,-95.37702301222046,-1.3106539994849737
2021-09-30,146.4921417236328,38.359580993652344,-93.88873887553655,-1.2584980932218106
2021-10-01,149.57078552246094,38.92887878417969,-94.3776080855906,-1.275630182495662
2021-10-04,149.4096221923828,39.163822174072266,-96.01104763689955,-1.3328729616295139
2021-10-05,151.84950256347656,39.95903015136719,-98.55434979517881,-1.422001257562084
2021-10-06,152.17367553710938,39.97710418701172,-98.34343803273941,-1.414609998164468
2021-10-07,153.1370086669922,39.8686637878418,-96.70056154055283,-1.357036507850074
2021-10-08,153.2540740966797,40.06746673583984,-97.8292977194227,-1.3965923002487943
2021-10-11,150.03086853027344,39.561424255371094,-97.88138061126708,-1.3984175098025309
2021-10-12,148.87843322753906,39.34454345703125,-97.67472918939384,-1.3911755511451036
2021-10-13,144.9530029296875,38.98310089111328,-99.33517431194431,-1.4493647221725048
2021-10-14,147.17681884765625,40.72712707519531,-108.04032422358202,-1.754430785572054
2021-10-15,150.00384521484375,41.90184783935547,-112.57470286740534,-1.913335003980158
2021-10-18,149.9498291015625,41.820518493652344,-112.1190674351729,-1.8973675698673143
2021-10-19,151.76849365234375,42.001258850097656,-111.43301499632588,-1.873325328328783
2021-10-20,153.812255859375,42.5524787902832,-112.84348068212665,-1.922754139859317
2021-10-21,152.6058349609375,42.31753158569336,-112.57760145447662,-1.9134365829944464
2021-10-22,154.65855407714844,42.9862174987793,-114.71521248442798,-1.9883477090067536
2021-10-25,153.90228271484375,42.9320068359375,-115.13177192772264,-2.002945751639876
2021-10-26,154.3164520263672,43.33864212036133,-117.26578862919729,-2.077730916853106
2021-10-27,151.10227966308594,42.50729751586914,-115.27032775528892,-2.0078013464665894
2021-10-28,153.3800811767578,43.175987243652344,-117.18288029263607,-2.0748254505355277
2021-10-29,152.9569549560547,43.175987243652344,-117.6060065133392,-2.0896536214207257
2021-11-01,152.87594604492188,43.2392463684082,-118.08342966364899,-2.1063845913085744
2021-11-02,153.47911071777344,43.266357421875,-117.65015680758756,-2.0912008384820053
2021-11-03,153.53314208984375,43.709136962890625,-120.3708099660455,-2.1865442797037047
2021-11-04,151.51641845703125,42.76935577392578,-116.49838090422128,-2.0508376345940773
2021-11-05,151.30030822753906,42.44403839111328,-114.67588495165882,-1.9869695023443885
2021-11-08,152.20962524414062,42.77839279174805,-115.8618047227086,-2.028529254874117
2021-11-09,151.05723571777344,42.36270904541016,-114.4093059159108,-1.9776274211802523
2021-11-10,150.91319274902344,42.67898178100586,-116.53527665140524,-2.052130620983036
2021-11-11,150.9041748046875,42.913936614990234,-118.01664253154217,-2.1040440816465487
2021-11-12,150.2289581298828,42.38980865478515,-115.40740360602126,-2.012605076510819
2021-11-15,149.95883178710938,42.516326904296875,-116.47035842714871,-2.049855605926678
2021-11-16,148.87843322753906,42.5434455871582,-117.72069661322263,-2.093672858037842
2021-11-17,148.07717895507812,42.02837371826172,-115.29424541523838,-2.0086395246071813
2021-11-18,146.7987060546875,41.85667419433594,-115.4967607141482,-2.015736535645901
2021-11-19,144.8809814453125,41.02532577514648,-112.20482818147678,-1.900372996946078
2021-11-22,147.9691162109375,41.820518493652344,-114.0997803257979,-1.966780307201097
2021-11-23,151.5074005126953,42.9229736328125,-117.47004742913106,-2.08488902770048
2021-11-24,150.3190155029297,43.04044723510742,-119.39458250194048,-2.152333051582417
2021-11-26,145.79029846191406,41.35063171386719,-113.33404563235973,-1.9399456551954668
2021-11-29,145.16009521484375,41.1970100402832,-113.00157639399941,-1.9282944966539652
2021-11-30,142.99929809570312,40.1849365234375,-108.82019987858635,-1.7817609979668176
2021-12-01,142.1529998779297,39.61563491821289,-106.09896118262088,-1.6863970369810464
2021-12-02,145.14208984375,40.75971221923828,-110.27924851368797,-1.8328923659429033
2021-12-03,142.51312255859375,39.833553314208984,-107.10442734759536,-1.721632915506256
2021-12-06,144.19676208496094,40.087799072265625,-107.01402261751991,-1.7184647431718605
2021-12-07,146.36651611328125,40.59626388549805,-108.03057084778598,-1.7540889851448176
2021-12-08,144.6919403076172,40.096866607666016,-106.57566623931424,-1.7031028417660605
2021-12-09,144.46685791015625,40.396514892578125,-108.67849903788417,-1.7767951882918307
2021-12-10,143.8906707763672,40.42375564575195,-109.42539075359224,-1.8029695009469393
2021-12-13,142.17999267578125,39.57024383544922,-105.78752449452227,-1.6754829498715962
2021-12-14,143.26937866210938,40.06963348388672,-107.82757111261651,-1.746974997366559
2021-12-15,142.19802856445312,39.897117614746094,-107.81784796945146,-1.7466342564213322
2021-12-16,144.42184448242188,40.859596252441406,-111.62541864367131,-1.880067983409417
2021-12-17,141.1356201171875,39.84264373779297,-108.53889506259256,-1.7719028618403123
