date,MA,V,spread,zscore_full,signal,position
2024-10-25,504.4615783691406,279.2122802734375,22.52988654018793,3.2055401917386477,-1,-1
2024-10-28,505.3067321777344,281.6502685546875,19.16697394177646,2.957858007938609,-1,-1
2024-10-29,503.38775634765625,279.3609313964844,21.19948666635372,3.107554788777475,-1,-1
2024-10-30,510.75543212890625,287.56689453125,14.403338088765736,2.607011027419642,-1,-1
2024-10-31,496.7359924316406,287.2596740722656,0.9141733329096268,1.6135193184923418,0,-1
2024-11-01,505.1774597167969,288.1417236328125,7.833187391527815,2.123112256646972,-1,-1
2024-11-04,502.6917419433594,289.2418518066406,3.448603882233499,1.8001828950130605,0,-1
2024-11-05,502.671875,290.6689758300781,0.9654631373370536,1.6172968685759397,0,-1
2024-11-06,518.1529541015625,304.6528625488281,-7.690211983055519,0.9797969474970558,0,-1
2024-11-07,514.9215087890625,303.067138671875,-8.184633730384348,0.9433822460996776,0,-1
2024-11-08,521.76220703125,305.11865234375,-4.884931083837159,1.1864089479454616,0,-1
2024-11-11,527.0916137695312,308.14141845703125,-4.7729409489739965,1.1946571436256204,0,-1
2024-11-12,526.1470336914062,307.6648254394531,-4.894902197259739,1.1856745645575053,0,-1
2024-11-13,518.8987426757812,307.29742431640625,-11.509044010577329,0.6985358000652364,0,-1
2024-11-14,517.4271240234375,306.0760803222656,-10.872573517182673,0.7454125466695761,0,-1
2024-11-15,518.9085693359375,307.4562683105469,-11.773388510651216,0.6790665390785673,0,-1
2024-11-18,518.6500854492188,309.95849609375,-16.350818783680552,0.3419338027856707,0,0
2024-11-19,516.4924926757812,309.65069580078125,-17.977135798793142,0.2221537793486889,0,0
2024-11-20,509.6119995117187,305.2221374511719,-17.213758085470374,0.2783773812315853,0,0
2024-11-21,512.1573486328125,307.71441650390625,-18.97018343940283,0.1490147366153549,0,0
2024-11-22,517.8844604492188,307.73431396484375,-13.277415445565223,0.5682933135390313,0,-1
2024-11-25,523.5916748046875,310.981201171875,-13.174459768582778,0.5758761115343374,0,-1
2024-11-26,525.4608764648438,309.6208801269531,-8.957288950452153,0.886475345717761,0,-1
2024-11-27,529.3386840820312,312.4805908203125,-10.015457685172692,0.8085400633175257,0,-1
2024-11-29,529.8955078125,312.8578796386719,-10.109849719146837,0.8015879869777816,0,-1
2024-12-02,528.3245239257812,314.41680908203125,-14.371608894632914,0.4877047716028541,0,0
2024-12-03,523.174072265625,310.8025207519531,-13.283652673995448,0.5678339348566395,0,-1
2024-12-04,518.1629028320312,307.71441650390625,-12.96462924018408,0.5913303590001369,0,-1
2024-12-05,521.7721557617188,306.90020751953125,-7.950018663053925,0.9606619019123922,0,-1
2024-12-06,525.5504150390625,308.8166198730469,-7.479564640075068,0.9953113542484292,0,-1
2024-12-09,519.833251953125,306.1257019042969,-8.552094445618877,0.9163183633056364,0,-1
2024-12-10,525.9879760742188,310.17694091796875,-9.389972762893194,0.8546077106174773,0,-1
2024-12-11,531.3968505859375,311.5769958496094,-6.397649705137155,1.074995570215826,0,-1
2024-12-12,529.3684692382812,312.013916015625,-9.18017293579328,0.8700596968991081,0,-1
2024-12-13,525.97802734375,312.5202941894531,-13.444644044867914,0.5559767446550595,0,-1
2024-12-16,527.2804565429688,313.6622314453125,-14.11324474855985,0.5067335729892584,0,-1
